epoch,train_loss,test_loss,medae,mae
0,9.110959289736481,0.23824505082198552,102.83539,137.6406
1,0.244305328009613,0.23988721082134853,111.65869,140.76913
2,0.24161418637194007,0.37249889023720273,173.36383,190.35342
3,0.23609632289267157,0.23253494240934885,104.65314,136.58128
4,0.23292725203759168,0.23194140361415017,105.74243,136.80884
5,0.23184275021591036,0.2314385435883961,101.34546,135.06409
6,0.23232621007944007,0.23056728073528834,104.7171,136.09258
7,0.23109985965181631,0.23189278680180747,106.791626,136.86353
8,0.23056499072280062,0.2329294646070117,108.51471,137.8176
9,0.23102343687973173,0.22992879294213794,100.55963,134.51906
10,0.2295022863315871,0.2302787091050829,100.21802,134.65936
11,0.22937550855822772,0.23113594097750528,99.24164,134.3042
12,0.2289838152696412,0.23003925761533162,100.864624,134.66243
13,0.22943205686204463,0.24096213281154633,117.60748,142.77806
14,0.22663108844206153,0.22857271205811275,107.88043,136.71327
15,0.22428855929241712,0.21161037328697385,97.5011,128.44339
16,0.2146476685288418,0.1963394825893735,93.76178,123.102715
17,0.19569602264351105,0.20272395251289246,102.90149,127.73158
18,0.18934769898771764,0.190533604413744,91.80652,120.931725
19,0.18311970303970504,0.19639970267575885,86.06659,121.10405
20,0.18015427145350027,0.19440577924251556,87.08307,120.34971
21,0.1787385967266987,0.19339252535312895,85.22229,119.6529
22,0.17483347467336047,0.17305939774664622,86.56995,114.07902
23,0.16708044416875953,0.16589360128319453,87.56555,112.57362
24,0.16738545262362378,0.17174163496210462,79.486694,111.81623
25,0.16362766321911754,0.16090307810476848,81.462524,108.83715
26,0.16292500145644306,0.1592954426767334,80.674255,108.21313
27,108.56063695691259,0.2783643116080572,126.341125,154.93147
28,0.27710903343926385,0.2783335932190456,126.283875,154.86383
29,0.27661375713300895,0.2783101901175484,125.36536,154.67862
30,0.27693190879793284,0.2783499367180325,126.3725,154.90257
31,0.2771147634997311,0.27834334780299474,125.04547,154.58522
32,0.27686722226351856,0.27879385508242105,124.565735,154.32121
33,0.2774681284489385,0.27844114719875274,124.85327,154.47614
34,0.27699582504323755,0.27835315962632495,125.087585,154.56912
35,0.27749693393707275,0.2786191701889038,124.90637,154.3775
36,0.27739322138022615,0.27846183876196545,126.704346,155.07678
37,0.2778361464639109,0.278847495478297,124.59808,154.30806
38,0.27705172458255434,0.27841167743243866,124.89862,154.50073
39,0.2774678447925712,0.27867412519833396,124.793945,154.35677
