epoch,train_loss,test_loss,medae,mae
0,0.227729234354667,0.32546076131245444,126.52911,166.12454
1,0.1428648467617206,0.2392695430252287,100.658264,136.79579
2,0.13168447043197565,0.1542993282514905,74.5343,104.680824
3,0.12131229191424837,0.13249583672436457,70.5907,96.871666
4,0.117473478425309,0.18889889806982071,81.5802,117.549934
5,0.1116224405062626,0.135049269312904,75.502625,99.60028
6,0.11037241364736482,0.18162604149371858,87.0954,117.2365
7,0.10985872850000146,0.10876623233632436,55.182617,83.25546
8,0.10607058951163671,0.11125618124765063,58.02899,85.77366
9,0.10610998279426202,0.12249687219422961,64.48602,91.88969
10,0.1078429426923691,0.1834070391598202,102.07922,122.62402
11,0.10799438375757035,0.12766419634932563,72.15607,95.94435
12,0.10346623753527721,0.14353259723810924,84.80908,106.23149
13,0.10279755733640071,0.10709899723056764,62.462402,85.554726
14,0.10362085334926963,0.10685268765877164,59.368286,85.00607
15,0.10331283572066828,0.10135028251106777,55.660706,81.08138
16,0.09933835520331129,0.1082577919439664,60.151672,85.04876
17,0.10661278276210762,0.12176139711860627,62.95526,90.576355
18,0.10494787517593676,0.13000860952195667,76.66864,98.78466
19,0.1009268399431886,0.10886869650511515,54.51013,82.73493
20,0.10067546094556254,0.12039921409080899,61.940063,89.63064
21,0.10281933677861416,0.1048774817396724,59.8468,84.280464
22,0.09899803194629243,0.13143535159409991,75.74664,98.48727
23,0.10101762155731361,0.10372121714883381,57.381042,82.57042
24,0.10058602969722444,0.10922864871838736,62.47876,86.22594
25,0.0985091136568096,0.12098586618427247,66.7746,92.77916
26,0.09861930471611213,0.1038009508971184,58.893066,82.70811
27,0.09630279119805511,0.10285474017025932,58.390747,82.56903
28,0.09618092168018637,0.1017108363291574,61.424255,83.85553
29,0.09552489461533102,0.1054225821816732,54.645996,82.408585
30,0.09478496325265363,0.10848692733617056,63.315002,86.3598
31,0.0939977159686535,0.10074400641615429,54.91974,80.69637
32,0.0948215501746571,0.12678791286926422,71.60535,95.389626
33,0.0952620424656754,0.10485321212382544,62.412903,85.14445
34,0.09320600918564663,0.09898279997564498,54.948547,79.21233
35,0.09228349551261658,0.09355761832188046,55.34558,77.93058
36,0.09402197548948911,0.09935462652217775,54.25464,79.62493
37,0.09218149176572424,0.09678209490246242,55.500427,79.35817
38,0.09291851057474357,0.10324899308265202,61.526855,84.38121
39,0.0896996475637434,0.10609870877057787,54.5058,82.32619
