epoch,train_loss,test_loss,medae,mae
0,0.201864469662843,0.14479651822457237,70.821045,100.476746
1,0.1310534156057464,0.12615543343718089,67.87982,94.19996
2,0.11624711606488285,0.1155347145266003,61.11902,87.95745
3,0.10530261012662455,0.10462286027650984,55.63977,82.32629
4,0.09891830740934349,0.13739836972857278,67.414246,97.34573
5,0.09505851735987986,0.09949359948199893,52.630676,79.26515
6,0.09172551062299436,0.09561889050971895,50.066284,76.80911
7,0.08827197391435919,0.0913754061810554,48.177795,74.62774
8,0.08417681056961596,0.1022038787366852,54.697144,81.37469
9,0.08317042771444852,0.08326841861246125,43.312073,69.340195
10,0.07871672162318609,0.08405852099023169,44.682922,69.899216
11,0.07719183993707615,0.08853663586907917,50.110718,74.098274
12,0.07601455729677382,0.07564246069107737,39.807312,64.7839
13,0.07357898796815797,0.0888927827278773,48.82361,74.107376
14,0.07186415070200346,0.07285907829091662,39.952637,63.649666
15,0.06955083308229408,0.07253910187217924,38.17169,62.61888
16,0.06919648331326556,0.07641494356923634,40.901062,65.22651
17,0.06765492736877673,0.07159756845425046,38.894165,62.62858
18,0.06688847967174899,0.07078022959213408,37.431396,60.96117
19,0.06664397701086751,0.06994430431061321,37.638916,60.954308
20,0.06541903883931172,0.07131935360412749,38.697083,62.27195
21,0.06450717609776443,0.07004625563110624,37.06665,60.77441
22,0.06314704261453029,0.0669822779794534,35.881653,59.3824
23,0.06491251564417702,0.06751024557484521,35.914795,59.683685
24,0.06349998106252387,0.06680143311146707,35.884216,59.029785
25,0.06246355686529699,0.07305301672645978,40.86444,63.491394
26,0.060494363322794675,0.06662650211226373,37.44348,59.748554
27,0.06007189350388202,0.06838840352637428,35.79828,59.664936
28,0.059089188452854574,0.06711999865041839,36.03296,58.981266
29,0.0608319049604623,0.06387279472417301,34.431946,57.042374
30,0.05825576900070407,0.06804074666329793,36.521423,59.38343
31,0.057234071484540565,0.06584585931092973,35.82843,58.156204
32,0.057002398307876755,0.06556405127048492,35.1734,57.64129
33,0.05619071003984645,0.06504727036706985,34.42572,57.29797
34,0.05693143226235986,0.06629097177868798,36.544006,59.021164
35,0.05564500459755559,0.06598043471338257,37.328857,59.800976
36,0.055696082023154216,0.06249748596123287,32.73932,55.6243
37,0.054220849989479285,0.06459534038153905,34.666443,57.248516
38,0.053966965377924454,0.06671778863621136,34.37256,58.24614
39,0.05290212474793077,0.08049817418768293,50.088257,70.766716
