epoch,train_loss,test_loss,medae,mae
0,0.19358465491063093,0.16087398074922107,72.24426,105.68451
1,0.1494492284389606,0.17227713243355827,81.74097,112.811584
2,0.13794668431419776,0.1695627522847009,77.91205,110.55329
3,0.13131419462393004,0.1402690593921949,68.617004,98.45995
4,0.12728671711754513,0.1646931685862087,78.40668,109.51532
5,0.12322221657788136,0.1604740003508235,79.10272,108.82079
6,0.12056399552351925,0.14315638703013223,70.14575,100.11833
7,0.11799185289685944,0.1402714496094083,70.46838,99.5881
8,0.11574971663999367,0.13555507314583612,65.566956,95.99411
9,0.1141507645467838,0.20113197229211294,104.65546,129.88197
10,0.11671905249238489,0.14804215930284015,71.85333,102.28308
11,0.11090770494415465,0.14580560451935207,71.87445,101.608376
12,0.10898693380840271,0.1445867627386063,69.462036,100.58801
13,0.10728674102945632,0.12480614204255361,58.09796,89.580215
14,0.10707133675951407,0.13425817033128132,67.922,96.69825
15,0.10371288755144256,0.1500230941271025,79.10028,105.59875
16,0.1030334191938558,0.11746351290789861,64.20563,90.070175
17,0.10208951827301922,0.1186151806087721,64.25885,90.26356
18,0.10134743780372628,0.14383796070303237,77.343445,103.62626
19,0.10028901945547279,0.15096113428709998,83.6264,108.05285
20,0.10039828569290647,0.13714368215629033,77.342224,101.40274
21,0.09828674352442125,0.1152915336073391,61.766785,88.31571
22,0.09821016705071783,0.12451627684964074,67.70691,93.64069
23,0.09773139640748263,0.13684338354875172,73.47443,99.636215
24,0.09667638588355357,0.1258679720617476,70.51715,95.476685
25,0.09672560156935239,0.10282856190488451,55.73938,81.69264
26,0.09552830757491618,0.12771224916454346,76.05383,98.27017
27,0.09555460122298909,0.10251626585211072,55.850647,81.91114
28,0.09385726434657299,0.11212234754884054,63.238342,87.96344
29,0.0944107162851499,0.1101229985555013,60.012024,86.058754
30,0.09303767231118631,0.14620977722936207,85.46875,108.044075
31,0.09234650716541773,0.11954805455983632,68.80798,93.18338
32,0.09207846571605995,0.10797718770447232,58.05896,84.50186
33,0.09178816099684552,0.13987214118242264,83.87085,105.50181
34,0.09107705268014475,0.11045303432241318,61.67151,87.00858
35,0.09190826257505265,0.1108584004262137,67.88556,89.776085
36,0.0912293834218466,0.10742460415949898,61.634644,86.05968
37,0.09089795690015018,0.11326725993837629,66.97424,89.94253
38,0.08969933048365601,0.10427241772413254,61.87262,85.049774
39,0.08930479761851261,0.10777123437987433,63.242493,86.80624
