epoch,train_loss,test_loss,medae,mae
0,0.15477427620574297,0.20569694113163722,111.443726,131.89
1,0.1180904162713731,0.12178994005634672,67.9837,92.79595
2,0.10257792076563456,0.10808536197457995,61.58838,85.93725
3,0.09575923036531624,0.11296108838111635,67.372986,90.100685
4,0.09120674248769939,0.09327792530021971,55.458374,78.228355
5,0.0888502039163711,0.11434236973051042,70.70398,91.1432
6,0.08606951153907642,0.11920298103775297,75.253784,95.321
7,0.0833930798706068,0.0884497682490046,50.78711,74.60128
8,0.08143198533184025,0.08543577837565589,50.731018,73.292435
9,0.07996193096932187,0.11428475521859668,76.83569,94.09668
10,0.07783529776857194,0.09763104835199932,61.80371,82.156654
11,0.07763669288075303,0.08119069140345331,48.529175,71.216965
12,0.07567229872918224,0.09086779410403872,58.04541,78.663925
13,0.07482903323088035,0.09008173609063738,56.428223,77.89046
14,0.0739525785127959,0.0835777007279888,51.079468,73.051
15,0.07310616469893798,0.125220939398758,85.86066,101.228935
16,0.07217905970208674,0.07922045780079705,49.3031,70.50379
17,0.07156681061622155,0.08097812231807482,49.159485,70.97965
18,0.0705932403257881,0.13462899495211858,96.254944,109.05168
19,0.06946602716032728,0.08695628405326888,53.619263,74.777145
20,0.06873721161864668,0.08592955708976775,56.583923,75.978165
21,0.06713650929203546,0.07169261237695104,41.11676,64.00088
22,0.06626207716911438,0.08917777453150068,55.08191,76.611275
23,0.06517100963459546,0.07975445752815595,49.288757,70.81821
24,0.06469268146976531,0.07177502496374978,42.40985,64.48873
25,0.06472731690364054,0.08139322331500431,52.30475,72.20291
26,0.06437414952839514,0.0728315639472197,42.49347,64.54633
27,0.06336021932413378,0.0803517893784576,48.732056,70.2734
28,0.06219777954645841,0.13324675247782752,88.475586,104.83931
29,0.06266651077722886,0.07293223631050852,43.84552,65.846954
30,0.062095849310971826,0.0692279642773053,39.084595,61.39014
31,0.06275727481124886,0.06975864069092841,40.002563,62.18386
32,0.061637175792598156,0.07661052544911702,46.937744,68.16774
33,0.06163095878771102,0.07154449282421006,42.77014,63.870575
34,0.06079360121393584,0.06969024341494318,39.67163,62.601166
35,0.06131340923952867,0.07609551606906785,46.53241,67.62295
36,0.06041627824009652,0.06820023402808205,40.038086,61.722607
37,0.05988698865312979,0.07136359952744983,41.906494,64.35864
38,0.05875715470141861,0.0726252333630645,40.84424,63.54403
39,0.0584239314395593,0.06591979479269376,36.69513,59.68866
